StopId,TrainStation,StreetName,StreetType,EntranceType,LAT,LONG,Exit_Number,Mode,StateCode
1,Aberdeen,Macqueen,St,Stairs,-32.16689969,150.8919751,,Train,NSW
2,Aberdeen,Macqueen,St,Ramp,-32.16688641,150.8919573,,Train,NSW
3,Adamstown,Park,Ave,Path,-32.9337056,151.7204518,,Train,NSW
4,Adamstown,St James,Rd,Stairs,-32.93341396,151.7203632,,Train,NSW
5,Adamstown,St James,Rd,Ramp,-32.93340162,151.7203474,,Train,NSW
6,Adamstown,Park,Ave,Path,-32.93382729,151.7202364,,Train,NSW
7,Albion Park,Burroo,St,Ramp,-34.56340933,150.79939,,Train,NSW
8,Albion Park,Princes,Hwy,Ramp,-34.56350712,150.7991893,,Train,NSW
9,Albion Park,Princes,Hwy,Stairs,-34.56293995,150.798574,,Train,NSW
10,Albion Park,Princes,Hwy,Ramp,-34.56278202,150.7984185,,Train,NSW
11,Allawah,Railway,Pde,Ramp,-33.96996874,151.1149448,,Train,NSW
12,Allawah,Roberts,Lane,Ramp,-33.96953727,151.1146945,,Train,NSW
13,Allawah,Roberts,Lane,Stairs,-33.96949011,151.1145667,,Train,NSW
14,Allawah,Railway,Pde,Lift,-33.96987782,151.1144352,,Train,NSW
15,Allawah,Railway,Pde,Ramp,-33.96988689,151.1142405,,Train,NSW
16,Arlington LR,Grove,St,Path,-33.9020453,151.1381593,,Train,NSW
17,Arlington LR,Constitution,Rd,Path,-33.9020497,151.1380434,,Train,NSW
18,Arncliffe,The Arcade,,Stairs,-33.93692447,151.1474278,,Train,NSW
19,Arncliffe,The Arcade,,Lift,-33.93696302,151.1474227,,Train,NSW
20,Arncliffe,Firth,St,Lift,-33.93677457,151.1468602,,Train,NSW
21,Arncliffe,Firth,St,Stairs,-33.93671781,151.1468509,,Train,NSW
22,Artarmon,Valetta,Lane,Ramp,-33.80823377,151.1847419,,Train,NSW
23,Artarmon,Hampden,Rd,Lift,-33.80875941,151.1847201,,Train,NSW
24,Artarmon,Hampden,Rd,Stairs,-33.80854065,151.1844285,,Train,NSW
25,Ashfield,Station,St,Lift,-33.88744211,151.1259581,,Train,NSW
26,Ashfield,Station,St,Stairs,-33.88739665,151.1258025,,Train,NSW
27,Ashfield,Brown,St,Lift,-33.88789161,151.1257974,,Train,NSW
28,Ashfield,Brown ,St,Stairs,-33.887775,151.1255397,,Train,NSW
29,Asquith,Haldane,St,Path,-33.68869132,151.1082656,,Train,NSW
30,Asquith,Pacific,Hwy,Ramp,-33.68848916,151.1079991,,Train,NSW
31,Auburn,Rawson,St,Ramp,-33.8492876,151.0332914,,Train,NSW
32,Auburn,South,Pde,Stairs,-33.849663,151.0329192,,Train,NSW
33,Auburn,South,Pde,Ramp,-33.84946375,151.0327209,,Train,NSW
34,Austinmer,Gilchrist,St,Path,-34.3065205,150.9293511,,Train,NSW
35,Austinmer,Railway,Ave,Path,-34.30650136,150.9289071,,Train,NSW
36,Awaba,Adelaide,St,Ramp,-33.0129167,151.5421589,,Train,NSW
37,Awaba,Adelaide,St,Path,-33.01291676,151.5421328,,Train,NSW
38,Awaba,Wilton,Rd,Ramp,-33.01310914,151.5420747,,Train,NSW
39,Banksia,Hattersley,St,Ramp,-33.94490035,151.140849,,Train,NSW
40,Banksia,Railway,St,Ramp,-33.94479129,151.1404987,,Train,NSW
41,Banksia,Railway,St,Stairs,-33.94488347,151.1404482,,Train,NSW
42,Bankstown,North,Tce,Ramp,-33.91768635,151.0342697,,Train,NSW
43,Bankstown,Bankstown City,Plza,Path,-33.91805216,151.03411,,Train,NSW
44,Bankstown,Bankstown City,Plza,Path,-33.91778824,151.0337625,,Train,NSW
45,Bardwell Park,Hartill Law,Ave,Stairs,-33.93137824,151.125379,,Train,NSW
46,Bargo,Great Southern,Rd,Path,-34.29097858,150.5801756,,Train,NSW
47,Bargo,Great Southern,Rd,Ramp,-34.29098411,150.5801501,,Train,NSW
48,Bargo,Railside,Ave,Ramp,-34.29100778,150.5800205,,Train,NSW
49,Bargo,Railside,Ave,Path,-34.29104476,150.5800077,,Train,NSW
50,Beecroft,Sutherland,Rd,Path,-33.74921627,151.0667339,,Train,NSW
51,Beecroft,Wongala,Cres,Path,-33.74904472,151.0663377,,Train,NSW
52,Beecroft,Wongala,Cres,Path,-33.74923381,151.0662247,,Train,NSW
53,Bell,Sandham ,Rd,Ramp,-33.5061656,150.2793612,,Train,NSW
54,Bell,Chiefley,Rd,Stairs,-33.50623435,150.2790794,,Train,NSW
55,Bellambi,Bellambi,Lane,Ramp,-34.36261281,150.9101311,,Train,NSW
56,Belmore,Burwood,Rd,Lift,-33.91724884,151.0883372,,Train,NSW
57,Belmore,Burwood,Rd,Stairs,-33.91722736,151.0883244,,Train,NSW
58,Berala,Campbell,St,Path,-33.8719773,151.0328288,,Train,NSW
59,Berala,Woodburn,Rd,Path,-33.87139384,151.0323272,,Train,NSW
60,Beresfield,Lawson,Ave,Stairs,-32.79940714,151.6585784,,Train,NSW
61,Beresfield,Addison,St,Stairs,-32.79958398,151.658334,,Train,NSW
62,Beresfield,Addison,St,Lift,-32.79947121,151.6581617,,Train,NSW
63,Berowra,Pacific,Hwy,Ramp,-33.62291449,151.1535638,,Train,NSW
64,Berowra,Pacific,Hwy,Ramp,-33.62300205,151.1531421,,Train,NSW
65,Berry,Station,Rd,Path,-34.78027342,150.6967235,,Train,NSW
