Country: Austrila ,,,,,,,,,,,
State,City/Town,Suburb,Postcode,District,Location,Property_Median_Value,Updated_Year,Updated_Month,,,
New South Wales,SYDNEY,Dawes Point,2000,,," $1,044,350.00 ",2017,6,,,    
NEW SOUTH WALES_NSW,SYDNEY,Haymarket,2000,,," $1,044,350.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Millers Point,2000,,," $1,044,350.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Parliament House,2000,,," $1,044,350.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Sydney,2000,,," $1,044,350.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Sydney South,2000,,," $1,044,350.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,The Rocks,2000,,," $1,044,350.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Broadway,2007,,," $1,051,540.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Ultimo,2007,,," $1,051,540.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Chippendale,2008,,," $1,052,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Darlington,2008,,," $1,052,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Pyrmont,2009,,," $985,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Darlinghurst,2010,,," $1,250,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Surry Hills,2010,,," $1,250,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Elizabeth Bay,2011,,," $850,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Hmas Kuttabul,2011,,," $850,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Potts Point,2011,,," $850,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Rushcutters Bay,2011,,," $850,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Woolloomooloo,2011,,," $850,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Alexandria,2015,,," $945,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Beaconsfield,2015,,," $945,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Eveleigh,2015,,," $945,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Redfern,2016,,," $1,120,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Waterloo,2017,,," $910,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Zetland,2017,,," $910,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Eastlakes,2018,,," $800,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Rosebery,2018,,," $800,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Banksmeadow,2019,,," $1,070,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Botany,2019,,," $1,070,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Mascot,2020,,," $1,057,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Sydney Domestic Airport,2020,,," $1,057,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Sydney International Airport,2020,,," $1,057,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Moore Park,2021,,," $2,100,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Paddington,2021,,," $2,100,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Bondi Junction,2022,,," $1,310,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Bondi Junction Plaza,2022,,," $1,310,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Queens Park,2022,,," $1,310,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Bellevue Hill,2023,,," $1,385,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Bronte,2024,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Waverley,2024,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Woollahra,2025,,," $2,006,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Bondi,2026,,," $1,345,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Bondi Beach,2026,,," $1,345,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Bondi,2026,,," $1,345,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Tamarama,2026,,," $1,345,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Darling Point,2027,,," $1,915,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Edgecliff,2027,,," $1,915,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Hmas Rushcutters,2027,,," $1,915,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Point Piper,2027,,," $1,915,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Double Bay,2028,,," $2,230,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Rose Bay,2029,,," $1,500,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Dover Heights,2030,,," $1,500,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Hmas Watson,2030,,," $1,500,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Rose Bay North,2030,,," $1,500,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Vaucluse,2030,,," $1,500,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Watsons Bay,2030,,," $1,500,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Clovelly,2031,,," $1,245,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Clovelly West,2031,,," $1,245,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Randwick,2031,,," $1,245,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,St Pauls,2031,,," $1,245,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Daceyville,2032,,," $1,870,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Kingsford,2032,,," $1,870,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Kensington,2033,,," $980,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Coogee,2034,,," $1,275,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,South Coogee,2034,,," $1,275,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Maroubra,2035,,," $1,400,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Maroubra South,2035,,," $1,400,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Pagewood,2035,,," $1,400,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Chifley,2036,,," $840,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Eastgardens,2036,,," $840,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Hillsdale,2036,,," $840,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,La Perouse,2036,,," $840,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Little Bay,2036,,," $840,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Malabar,2036,,," $840,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Matraville,2036,,," $840,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Phillip Bay,2036,,," $840,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Port Botany,2036,,," $840,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Forest Lodge,2037,,," $1,433,750.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Glebe,2037,,," $1,433,750.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Annandale,2038,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Rozelle,2039,,," $1,593,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Leichhardt,2040,,," $1,480,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lilyfield,2040,,," $1,480,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Balmain,2041,,," $1,750,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Balmain East,2041,,," $1,750,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Birchgrove,2041,,," $1,750,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Enmore,2042,,," $1,192,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Newtown,2042,,," $1,192,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Erskineville,2043,,," $1,080,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,St Peters,2044,,," $1,301,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Sydenham,2044,,," $1,301,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Tempe,2044,,," $1,301,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Haberfield,2045,,," $1,910,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Abbotsford,2046,,," $1,365,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Canada Bay,2046,,," $1,365,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Chiswick,2046,,," $1,365,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Five Dock,2046,,," $1,365,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Rodd Point,2046,,," $1,365,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Russell Lea,2046,,," $1,365,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Wareemba,2046,,," $1,365,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Drummoyne,2047,,," $1,500,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Stanmore,2048,,," $1,360,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lewisham,2049,,," $956,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Petersham,2049,,," $956,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Petersham North,2049,,," $956,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Camperdown,2050,,," $843,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Missenden Road,2050,,," $843,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Hmas Waterhen,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Lavender Bay,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Mcmahons Point,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Sydney,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,North Sydney Shoppingworld,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Waverton,2060,,," $1,350,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Kirribilli,2061,,," $1,415,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Milsons Point,2061,,," $1,415,500.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Cammeray,2062,,," $1,250,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Northbridge,2063,,," $3,210,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Artarmon,2064,,," $980,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Crows Nest,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Greenwich,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Naremburn,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Royal North Shore Hospital,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,St Leonards,2065,,," $1,300,000.00 ",2017,6,,,
NEW SOUTH WALES_NSW,SYDNEY,Wollstonecraft,2065,,," $1,300,000.00 ",2017,6,,,
